volume,current,doi,journal-title,title,start-end-page,author,type,datetime
478,Chemical sciences October 2011,10.1038/nature10460,Nature,Atmospheric oxygenation caused by a change in volcanic degassing pressure,", 229–232 (","Fabrice Gaillard,Bruno Scaillet,Nicholas T. Arndt",Letter,12 October 2011
478,Chemical sciences October 2011,10.1038/nature10458,Nature,"Active-site remodelling in the bifunctional fructose-1,6-bisphosphate aldolase/phosphatase",", 534–537 (","Juan Du,Rafael F. Say,Wei Lü,Georg Fuchs,Oliver Einsle",Letter,09 October 2011
478,Chemical sciences October 2011,10.1038/nature10457,Nature,"Structural basis for the bifunctionality of fructose-1,6-bisphosphate aldolase/phosphatase",", 538–541 (","Shinya Fushinobu,Hiroshi Nishimasu,Daiki Hattori,Hyun-Jin Song,Takayoshi Wakagi",Letter,09 October 2011
478,Chemical sciences October 2011,10.1038/478042a,Nature,Molecular medicine: Defence against oxidative damage,", 42–43 (","Fernando Cruz-Guilloty,Victor L. Perez",News and Views,05 October 2011
478,Chemical sciences October 2011,10.1038/nature10449,Nature,Complement factor H binds malondialdehyde epitopes and protects from oxidative stress,", 76–81 (","David Weismann,Karsten Hartvigsen,Nadine Lauer,Keiryn L. Bennett,Hendrik P. N. Scholl,Peter Charbel Issa,Marisol Cano,Hubert Brandstätter,Sotirios Tsimikas,Christine Skerka,Giulio Superti-Furga,James T. Handa,Peter F. Zipfel,Joseph L. Witztum,Christoph J. Binder",Article,05 October 2011
478,Chemical sciences October 2011,10.1038/nature10450,Nature,Crystal structure of a bacterial homologue of the bile acid sodium symporter ASBT,", 408–411 (","Nien-Jen Hu,So Iwata,Alexander D. Cameron,David Drew",Letter,05 October 2011
479,Chemical sciences October 2011,10.1038/nature10442,Nature,CTCF-promoted RNA polymerase II pausing links DNA methylation to splicing,", 74–79 (","Sanjeev Shukla,Ersen Kavak,Melissa Gregory,Masahiko Imashimizu,Bojan Shutinoski,Mikhail Kashlev,Philipp Oberdoerffer,Rickard Sandberg,Shalini Oberdoerffer",Article,02 October 2011
478,Chemical sciences October 2011,10.1038/nature10427,Nature,"S,-nitrosylation of NADPH oxidase regulates cell death in plant immunity",", 264–268 (","Byung-Wook Yun,Angela Feechan,Minghui Yin,Noor B. B. Saidi,Thierry Le Bihan,Manda Yu,John W. Moore,Jeong-Gu Kang,Eunjung Kwon,Steven H. Spoel,Jacqueline A. Pallas,Gary J. Loake",Letter,02 October 2011
483,Chemical sciences January 2012,10.1038/nature10751,Nature,"Structural and functional conservation of key domains in InsP,3, and ryanodine receptors",", 108–112 (","Min-Duk Seo,Saroj Velamakanni,Noboru Ishiyama,Peter B. Stathopulos,Ana M. Rossi,Samir A. Khan,Philippa Dale,Congmin Li,James B. Ames,Mitsuhiko Ikura,Colin W. Taylor",Letter,29 January 2012
482,Chemical sciences January 2012,10.1038/nature10750,Nature,G-protein-coupled receptor inactivation by an allosteric inverse-agonist antibody,", 237–240 (","Tomoya Hino,Takatoshi Arakawa,Hiroko Iwanari,Takami Yurugi-Kobayashi,Chiyo Ikeda-Suno,Yoshiko Nakada-Nakura,Osamu Kusano-Arai,Simone Weyand,Tatsuro Shimamura,Norimichi Nomura,Alexander D. Cameron,Takuya Kobayashi,Takao Hamakubo,So Iwata,Takeshi Murata",Letter,29 January 2012
482,Chemical sciences January 2012,10.1038/nature10752,Nature,Gated regulation of CRAC channel ion selectivity by STIM1,", 241–245 (","Beth A. McNally,Agila Somasundaram,Megumi Yamashita,Murali Prakriya",Letter,25 January 2012
481,Chemical sciences January 2012,10.1038/481450a,Nature,Nanotechnology: Shape matters,", 450–452 (",Sharon C. Glotzer,News and Views,25 January 2012
481,Chemical sciences January 2012,10.1038/481455a,Nature,Drug discovery: Chemical beauty contest,", 455–456 (",Paul Leeson,News and Views,25 January 2012
482,Chemical sciences January 2012,10.1038/nature10753,Nature,Structure of the human M2 muscarinic acetylcholine receptor bound to an antagonist,", 547–551 (","Kazuko Haga,Andrew C. Kruse,Hidetsugu Asada,Takami Yurugi-Kobayashi,Mitsunori Shiroishi,Cheng Zhang,William I. Weis,Tetsuji Okada,Brian K. Kobilka,Tatsuya Haga,Takuya Kobayashi",Letter,25 January 2012
482,Chemical sciences January 2012,10.1038/nature10729,Nature,"Adenylylation control by intra- or intermolecular active,-,site obstruction in Fic proteins",", 107–110 (","Philipp Engel,Arnaud Goepfert,Frédéric V. Stanger,Alexander Harms,Alexander Schmidt,Tilman Schirmer,Christoph Dehio",Letter,22 January 2012
482,Chemical sciences January 2012,10.1038/nature10743,Nature,Structures of cytochrome P450 17A1 with prostate cancer drugs abiraterone and TOK-001,", 116–119 (","Natasha M. DeVore,Emily E. Scott",Letter,22 January 2012
481,Chemical sciences January 2012,10.1038/481274a,Nature,Organic chemistry: Stabilizers cause instability,", 274–275 (",Jonathan Clayden,News and Views,18 January 2012
483,Chemical sciences January 2012,10.1038/nature10799,Nature,Genome-wide structure and organization of eukaryotic pre-initiation complexes,", 295–301 (","Ho Sung Rhee,B. Franklin Pugh",Article,18 January 2012
481,Chemical sciences January 2012,10.1038/nature10720,Nature,Pathway complexity in supramolecular polymerization,", 492–496 (","Peter A. Korevaar,Subi J. George,Albert J. Markvoort,Maarten M. J. Smulders,Peter A. J. Hilbers,Albert P. H. J. Schenning,Tom F. A. De Greef,E. W. Meijer",Letter,18 January 2012
482,Chemical sciences January 2012,10.1038/nature10774,Nature,Complete subunit architecture of the proteasome regulatory particle,", 186–191 (","Gabriel C. Lander,Eric Estrin,Mary E. Matyskiela,Charlene Bashore,Eva Nogales,Andreas Martin",Article,11 January 2012
481,Chemical sciences January 2012,10.1038/nature10828,Nature,Cell cycle: A division duet,", 273–274 (",Curt Wittenberg,News and Views,11 January 2012
481,Chemical sciences January 2012,10.1038/nature10777,Nature,A PGC1-α-dependent myokine that drives brown-fat-like development of white fat and thermogenesis,", 463–468 (","Pontus Boström,Jun Wu,Mark P. Jedrychowski,Anisha Korde,Li Ye,James C. Lo,Kyle A. Rasbach,Elisabeth Almer Boström,Jang Hyun Choi,Jonathan Z. Long,Shingo Kajimura,Maria Cristina Zingaretti,Birgitte F. Vind,Hua Tu,Saverio Cinti,Kurt Højlund,Steven P. Gygi,Bruce M. Spiegelman",Article,11 January 2012
482,Chemical sciences January 2012,10.1038/nature10731,Nature,"Cysteinyl leukotriene type I receptor desensitization sustains Ca,2+,-dependent gene expression",", 111–115 (","Siaw-Wei Ng,Daniel Bakowski,Charmaine Nelson,Ravi Mehta,Robert Almeyda,Grant Bates,Anant B. Parekh",Letter,09 January 2012
481,Chemical sciences January 2012,10.1038/nature10728,Nature,Structure of HDAC3 bound to co-repressor and inositol tetraphosphate,", 335–340 (","Peter J. Watson,Louise Fairall,Guilherme M. Santos,John W. R. Schwabe",Article,09 January 2012
481,Chemical sciences January 2012,10.1038/nature10742,Nature,Molecular recognition of a single sphingolipid species by a protein’s transmembrane domain,", 525–529 (","F.-Xabier Contreras,Andreas M. Ernst,Per Haberkant,Patrik Björkholm,Erik Lindahl,Başak Gönen,Christian Tischer,Arne Elofsson,Gunnar von Heijne,Christoph Thiele,Rainer Pepperkok,Felix Wieland,Britta Brügger",Letter,09 January 2012
481,Chemical sciences December 2011,10.1038/nature10704,Nature,Charge order and three-site distortions in the Verwey structure of magnetite,", 173–176 (","Mark S. Senn,Jon P. Wright,J. Paul Attfield",Letter,21 December 2011
481,Chemical sciences December 2011,10.1038/nature10719,Nature,Global landscape of HIV–human protein complexes,", 365–370 (","Stefanie Jäger,Peter Cimermancic,Natali Gulbahce,Jeffrey R. Johnson,Kathryn E. McGovern,Starlynn C. Clarke,Michael Shales,Gaelle Mercenne,Lars Pache,Kathy Li,Hilda Hernandez,Gwendolyn M. Jang,Shoshannah L. Roth,Eyal Akiva,John Marlett,Melanie Stephens,Iván D’Orso,Jason Fernandes,Marie Fahey,Cathal Mahon,Anthony J. O’Donoghue,Aleksandar Todorovic,John H. Morris,David A. Maltby,Tom Alber,Gerard Cagney,Frederic D. Bushman,John A. Young,Sumit K. Chanda,Wesley I. Sundquist,Tanja Kortemme,Ryan D. Hernandez,Charles S. Craik,Alma Burlingame,Andrej Sali,Alan D. Frankel,Nevan J. Krogan",Letter,21 December 2011
481,Chemical sciences December 2011,10.1038/nature10693,Nature,Vif hijacks CBF-β to degrade APOBEC3G and promote HIV-1 infection,", 371–375 (","Stefanie Jäger,Dong Young Kim,Judd F. Hultquist,Keisuke Shindo,Rebecca S. LaRue,Eunju Kwon,Ming Li,Brett D. Anderson,Linda Yen,David Stanley,Cathal Mahon,Joshua Kane,Kathy Franks-Skiba,Peter Cimermancic,Alma Burlingame,Andrej Sali,Charles S. Craik,Reuben S. Harris,John D. Gross,Nevan J. Krogan",Letter,21 December 2011
480,Chemical sciences December 2011,10.1038/480466a,Nature,Physiology: On time metabolism,", 466–467 (",Joseph Bass,News and Views,21 December 2011
480,Chemical sciences December 2011,10.1038/nature10702,Nature,Rethinking amide bond synthesis,", 471–479 (","Vijaya R. Pattabiraman,Jeffrey W. Bode",Review,21 December 2011
481,Chemical sciences December 2011,10.1038/nature10703,Nature,Antiparallel EmrE exports drugs by exchanging between asymmetric structures,", 45–50 (","Emma A. Morrison,Gregory T. DeKoster,Supratik Dutta,Reza Vafabakhsh,Michael W. Clarkson,Arjun Bahl,Dorothee Kern,Taekjip Ha,Katherine A. Henzler-Wildman",Article,18 December 2011
481,Chemical sciences December 2011,10.1038/nature10699,Nature,"Subnanometre-resolution structure of the intact ,Thermus thermophilus, H,+,-driven ATP synthase",", 214–218 (","Wilson C. Y. Lau,John L. Rubinstein",Letter,18 December 2011
480,Chemical sciences December 2011,10.1038/480326a,Nature,Supramolecular chemistry: Molecular wires get connected,", 326–327 (",Dario M. Bassani,News and Views,14 December 2011
480,Chemical sciences December 2011,10.1038/480329a,Nature,Cancer: A drug-resistant duo,", 329–330 (","Hugo Lavoie,Marc Therrien",News and Views,14 December 2011
480,Chemical sciences December 2011,10.1038/nature10700,Nature,Cryptochromes mediate rhythmic repression of the glucocorticoid receptor,", 552–556 (","Katja A. Lamia,Stephanie J. Papp,Ruth T. Yu,Grant D. Barish,N. Henriette Uhlenhaut,Johan W. Jonker,Michael Downes,Ronald M. Evans",Letter,14 December 2011
